Marca temporal,¿Qué edad tienes?,¿Cuál de las siguientes opciones describe mejor tu identidad de género? ,¿A qué te dedicas actualmente?  (Elige la opción que mejor te describa),Con qué género(s) musical(es) te identificas más?,¿A cuántos festivales de música asistes aproximadamente al año?,¿A qué tipo de lugares sueles ir para vivir festivales o conciertos?,¿Viajas a otras ciudades para ir a festivales o conciertos?,¿Generalmente asistes sola(o) o acompañada(o) a los festivales?,¿Qué influye más en tu decisión para asistir a un festival?,¿Generalmente cuál  es tu mayor gasto extra (aparte del boleto)? ,¿Cuál es tu presupuesto por día para gastar en comida y bebidas en el festival? ,¿Cuánto tiempo sueles pasar dentro de un festival?,¿Cómo manejas tu energía durante el evento?,¿Cuánto tiempo tardas en recuperarte después de un festival?,Cómo te enteras normalmente de los festivales?,¿Qué tan fácil te resulta conseguir boletos y planear tu asistencia?,¿Cuál fue el último festival al que asististe?,¿Qué tan seguro/a te sentiste durante el festival?,Qué aspectos te gustaron más?,¿Qué fue lo que menos te gustó?,¿Qué tipo de experiencias te gustaría vivir además de la música?,¿Qué emociones predominan para ti durante un festival?,¿Consideras que los festivales generan comunidad o conexión con otras personas?,¿Crees que los festivales tienen un impacto social o cultural más allá del entretenimiento?
10/10/2025 12:53:15,25 a 34,Mujer,Empleado(a) a tiempo parcial,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Precio,Transporte (ida y vuelta dentro de la ciudad),Más de  $500 mxn,Solo un día,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,Hipnosis ,4,Artistas,Seguridad,Arte visual,Euforia,Algo,Sí
10/10/2025 12:54:12,45 o más,Hombre,Freelance / Autónomo(a),Experimental,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Sola(o),Precio,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Solo unas horas (voy por artistas específicos),Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,2,Mutek,1,Artistas,Precios,Experiencias tecnológicas / instalaciones interactivas,Conexión,Para nada,No
10/10/2025 12:55:28,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Comida dentro del festival 🥫,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,Ceremonia,3,Artistas,Precios,Arte visual,Alegría,Para nada,No
10/10/2025 12:57:05,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Precio,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Depende del tipo de festival,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Redes sociales,5,Normal ,5,Artistas,Accesibilidad para todxs,Experiencias tecnológicas / instalaciones interactivas,Alegría,No mucho,Sí
10/10/2025 13:00:07,25 a 34,No binari@,Freelance / Autónomo(a),Experimental,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Máximo  $200 mxn,Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,4,Alguno cultural y gratuito ,3,Calidad de sonido,Precios,Espacios de bienestar (descanso),Nostalgia,No mucho,Tal vez
10/10/2025 13:03:55,25 a 34,Mujer,Empleado(a) a tiempo completo,Pop,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,4,Vaivén 2023,4,Artistas,Logística ,Arte visual,Conexión,"Sí, totalmente",Sí
10/10/2025 13:06:49,19 a  24,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Una semana para volver a la normalidad,Redes sociales,3,Bandemia ,4,Artistas,Seguridad,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 13:10:11,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,✨👽,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,1,Ceremonia 🤮,3,Artistas,El accidente ,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
10/10/2025 13:16:43,25 a 34,Hombre,Empleado(a) a tiempo parcial,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con familia,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,2,Corona Capital 2024,1,Artistas,Señal e internet,Arte visual,Alegría,Algo,No
10/10/2025 13:20:11,25 a 34,Hombre,Empleado(a) a tiempo completo,"Punk, Ska",3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Off Limits ,1,Artistas,Siento que no falló nada,Convivencia con artistas ,Conexión,"Sí, totalmente",Sí
10/10/2025 13:20:45,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con amix,Cartel / artistas,Comida dentro del festival 🥫,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Amigos/as,1,ceremonia,2,Artistas,Seguridad,Espacios de bienestar (descanso),Alegría,No mucho,Sí
10/10/2025 13:24:48,35 a 44,Mujer,Freelance / Autónomo(a),Experimental,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Una semana para volver a la normalidad,Redes sociales,5,Cercle oddysey ,4,Artistas,Seguridad,Iniciativas ecológicas o comunitarias,Alegría,"Sí, totalmente",Sí
10/10/2025 13:27:27,25 a 34,Hombre,Empleado(a) a tiempo completo,Electrónica,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,Tecate Emblema,3,Solo fui por un artista,el line up,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 13:27:55,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",En pareja,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,Más de  $500 mxn,Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Magia negra Festival 2024,3,Artistas,Accesibilidad para todxs,Iniciativas ecológicas o comunitarias,Euforia,Algo,Sí
10/10/2025 13:30:32,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Más de  $500 mxn,Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Atmósfera ,1,Calidad de sonido,Baños,Arte visual,Conexión,"Sí, totalmente",Sí
10/10/2025 13:33:16,25 a 34,Mujer,Empleado(a) a tiempo completo,Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,2,Mutek ,2,Artistas,Precios,Iniciativas ecológicas o comunitarias,Conexión,"Sí, totalmente",Sí
10/10/2025 13:35:42,25 a 34,Hombre,Empleado(a) a tiempo parcial,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Hipnosis ,1,Artistas,Precios,Arte visual,Conexión,No mucho,No
10/10/2025 13:47:19,25 a 34,Mujer,Empleado(a) a tiempo completo,Pop,1 a 2 festivales,En ciudades medianas o eventos locales,Casi nunca,En pareja,Precio,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Solo un día,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Redes sociales,2,Corona capital 2022,2,Convivencia y ambiente,Seguridad,Arte visual,Alegría,Algo,Sí
10/10/2025 13:52:28,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,Vive Latino,2,Artistas,Limpieza / sustentabilidad,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 14:03:29,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,4,Axe Ceremonia,4,Artistas,Seguridad,Arte visual,Conexión,"Sí, totalmente",Sí
10/10/2025 14:20:10,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,3,Outside Lands,5,Convivencia y ambiente,Señal e internet,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 15:37:01,19 a  24,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Máximo  $200 mxn,Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Hipnosis,2,Artistas,Baños,Arte visual,Alegría,"Sí, totalmente",Sí
10/10/2025 15:45:05,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Bebidas dentro del festival 🥤,"Más de $2,000 mxn",Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,4,Pachuca rock fest ,1,Convivencia y ambiente,Precios,Arte visual,Alegría,"Sí, totalmente",Sí
10/10/2025 15:46:37,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,Corona Capital,1,Artistas,Precios,Charlas o Talleres,Alegría,"Sí, totalmente",Sí
10/10/2025 15:47:03,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Solo unas horas (voy por artistas específicos),Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Corona capital ,1,Producción y escenografía,Precios,Experiencias tecnológicas / instalaciones interactivas,Alegría,"Sí, totalmente",Sí
10/10/2025 16:15:28,25 a 34,Mujer,Empleado(a) a tiempo completo,Pop,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,2,Axe ceremonia ,2,Artistas,Seguridad,Arte visual,Alegría,"Sí, totalmente",Sí
10/10/2025 17:09:26,35 a 44,Mujer,Empleado(a) a tiempo completo,Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Hipnosis,1,Artistas,Precios,Experiencias tecnológicas / instalaciones interactivas,Conexión,"Sí, totalmente",Sí
10/10/2025 17:10:22,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Solo unas horas (voy por artistas específicos),Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,3,Hipnosis ,4,Artistas,Ubicación ,Arte visual,Alegría,Algo,Sí
10/10/2025 17:21:19,25 a 34,Mujer,Freelance / Autónomo(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Más de $2,000 mxn",Depende del tipo de festival,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Redes sociales,1,Pitchfork ,2,Artistas,Logística ,I,Alegría,Algo,No
10/10/2025 17:26:53,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo un día,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Tecate Comuna ,3,Artistas,Señal e internet,Experiencias tecnológicas / instalaciones interactivas,Euforia,Algo,Tal vez
10/10/2025 17:58:09,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Solo unas horas (voy por artistas específicos),Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,1,Vive latuno,2,Artistas,Baños,Experiencias tecnológicas / instalaciones interactivas,Alegría,"Sí, totalmente",Sí
10/10/2025 18:45:27,19 a  24,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",Con familia,Cartel / artistas,Comida dentro del festival 🥫,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,2,Corona Capital ,2,Artistas,Señal e internet,Arte visual,Euforia,Algo,Sí
10/10/2025 18:53:28,35 a 44,Hombre,Freelance / Autónomo(a),Rock / Alternativo,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),"Entre $1,000 mxn y $2,000 mxn",Solo unas horas (voy por artistas específicos),Busco zonas tranquilas o de sombra,Una semana para volver a la normalidad,Redes sociales,5,"EDC en cdmx, BurningMan en USA",2,Producción y escenografía,Precios,Arte visual,Alegría,"Sí, totalmente",Sí
10/10/2025 18:53:34,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Corona Capital 2024,2,Artistas,Precios,Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 19:01:13,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","No, solo asisto a los que hay en mi ciudad",En pareja,Precio,Transporte (ida y vuelta dentro de la ciudad),Máximo  $200 mxn,Solo un día,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,5,no recuerdo,5,Artistas,Precios,Espacios de bienestar (descanso),Alegría,No mucho,No
10/10/2025 19:08:48,19 a  24,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,1,Festival hipnosis ,1,Artistas,Limpieza / sustentabilidad,Espacios de bienestar (descanso),Alegría,Algo,Sí
10/10/2025 19:18:56,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Busco zonas tranquilas o de sombra,Dos o tres días de bajón,Redes sociales,2,Vaivén ,3,Artistas,Precios,Espacios de bienestar (descanso),Alegría,Algo,Sí
10/10/2025 19:33:56,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo unas horas (voy por artistas específicos),Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Corona Capital 2024,3,Artistas,Precios,Arte visual,Alegría,"Sí, totalmente",Sí
10/10/2025 19:38:32,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Comida dentro del festival 🥫,Más de  $500 mxn,Depende del tipo de festival,Busco zonas tranquilas o de sombra,Dos o tres días de bajón,Redes sociales,3,HIpnosis,4,Artistas,"Sonido, Line Up",Arte visual,Euforia,"Sí, totalmente",Sí
10/10/2025 19:43:12,25 a 34,Mujer,Freelance / Autónomo(a),Pop,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Entre $200 – 500 mxn,Solo un día,Busco zonas tranquilas o de sombra,Dos o tres días de bajón,Redes sociales,3,Tecate península - Tijuana,3,Artistas,Baños,Arte visual,Euforia,Algo,Sí
